Year,Age,Industry,Employed
2014,35-39,Others,2.3
2014,40-44,Manufacturing,23.5
2014,40-44,Construction,9.0
2014,40-44,Wholesale & Retail Trade,23.6
2014,40-44,Transportation & Storage,13.6
2014,40-44,Accommodation & Food Services,5.5
2014,40-44,Information & Communications,9.1
2014,40-44,Financial & Insurance Services,11.0
2014,40-44,Real Estate Services,3.6
2014,40-44,Professional Services,11.0
2014,40-44,Administrative & Support Services,4.4
2014,40-44,Public Administration & Education,12.7
2014,40-44,Health & Social Services,3.0
2014,40-44,"Arts, Entertainment & Recreation",2.1
2014,40-44,"Other Community, Social & Personal Services",3.3
2014,40-44,Others,2.0
2014,45-49,Manufacturing,23.6
2014,45-49,Construction,10.8
2014,45-49,Wholesale & Retail Trade,23.1
2014,45-49,Transportation & Storage,17.7
2014,45-49,Accommodation & Food Services,5.8
2014,45-49,Information & Communications,6.4
2014,45-49,Financial & Insurance Services,9.3
2014,45-49,Real Estate Services,3.6
2014,45-49,Professional Services,10.8
2014,45-49,Administrative & Support Services,5.7
2014,45-49,Public Administration & Education,10.9
2014,45-49,Health & Social Services,2.6
2014,45-49,"Arts, Entertainment & Recreation",1.2
2014,45-49,"Other Community, Social & Personal Services",3.0
2014,45-49,Others,1.5
2014,50-54,Manufacturing,23.4
2014,50-54,Construction,14.1
2014,50-54,Wholesale & Retail Trade,25.5
2014,50-54,Transportation & Storage,22.2
2014,50-54,Accommodation & Food Services,7.6
2014,50-54,Information & Communications,4.0
2014,50-54,Financial & Insurance Services,7.1
2014,50-54,Real Estate Services,3.5
2014,50-54,Professional Services,9.3
2014,50-54,Administrative & Support Services,6.5
2014,50-54,Public Administration & Education,9.3
2014,50-54,Health & Social Services,2.1
2014,50-54,"Arts, Entertainment & Recreation",1.5
2014,50-54,"Other Community, Social & Personal Services",4.2
2014,50-54,Others,2.7
2014,55-59,Manufacturing,19.0
2014,55-59,Construction,11.8
2014,55-59,Wholesale & Retail Trade,20.5
2014,55-59,Transportation & Storage,24.6
2014,55-59,Accommodation & Food Services,7.8
2014,55-59,Information & Communications,3.1
2014,55-59,Financial & Insurance Services,3.9
2014,55-59,Real Estate Services,3.1
2014,55-59,Professional Services,6.2
2014,55-59,Administrative & Support Services,7.1
2014,55-59,Public Administration & Education,7.9
2014,55-59,Health & Social Services,2.1
2014,55-59,"Arts, Entertainment & Recreation",1.0
2014,55-59,"Other Community, Social & Personal Services",3.8
2014,55-59,Others,2.5
2014,60-64,Manufacturing,12.4
2014,60-64,Construction,6.6
2014,60-64,Wholesale & Retail Trade,13.6
2014,60-64,Transportation & Storage,19.8
2014,60-64,Accommodation & Food Services,5.7
2014,60-64,Information & Communications,1.6
2014,60-64,Financial & Insurance Services,3.1
2014,60-64,Real Estate Services,2.8
2014,60-64,Professional Services,4.4
2014,60-64,Administrative & Support Services,7.8
2014,60-64,Public Administration & Education,5.7
2014,60-64,Health & Social Services,2.0
2014,60-64,"Arts, Entertainment & Recreation",1.3
2014,60-64,"Other Community, Social & Personal Services",2.8
2014,60-64,Others,2.2
2014,65+,Manufacturing,6.6
2014,65+,Construction,5.2
2014,65+,Wholesale & Retail Trade,13.3
2014,65+,Transportation & Storage,10.6
2014,65+,Accommodation & Food Services,7.0
2014,65+,Information & Communications,0.7
2014,65+,Financial & Insurance Services,2.3
2014,65+,Real Estate Services,2.3
2014,65+,Professional Services,3.7
2014,65+,Administrative & Support Services,10.5
2014,65+,Public Administration & Education,3.2
2014,65+,Health & Social Services,2.8
2014,65+,"Arts, Entertainment & Recreation",0.9
2014,65+,"Other Community, Social & Personal Services",3.3
2014,65+,Others,1.1
2013,15-19,Manufacturing,0.2
2013,15-19,Construction,0.0
2013,15-19,Wholesale & Retail Trade,1.3
2013,15-19,Transportation & Storage,0.3
2013,15-19,Accommodation & Food Services,2.5
2013,15-19,Information & Communications,0.5
2013,15-19,Financial & Insurance Services,0.0
2013,15-19,Real Estate Services,0.0
2013,15-19,Professional Services,0.3
2013,15-19,Administrative & Support Services,0.2
2013,15-19,Public Administration & Education,11.5
2013,15-19,Health & Social Services,0.1
2013,15-19,"Arts, Entertainment & Recreation",0.4
2013,15-19,"Other Community, Social & Personal Services",0.2
2013,15-19,Others,0.0
2013,20-24,Manufacturing,3.5
2013,20-24,Construction,1.1
2013,20-24,Wholesale & Retail Trade,6.4
2013,20-24,Transportation & Storage,3.5
2013,20-24,Accommodation & Food Services,4.3
2013,20-24,Information & Communications,1.6
2013,20-24,Financial & Insurance Services,2.0
2013,20-24,Real Estate Services,0.5
2013,20-24,Professional Services,3.0
2013,20-24,Administrative & Support Services,2.1
2013,20-24,Public Administration & Education,47.0
2013,20-24,Health & Social Services,1.1
2013,20-24,"Arts, Entertainment & Recreation",1.8
2013,20-24,"Other Community, Social & Personal Services",0.8
2013,20-24,Others,0.4
2013,25-29,Manufacturing,11.8
2013,25-29,Construction,3.0
2013,25-29,Wholesale & Retail Trade,11.5
2013,25-29,Transportation & Storage,7.8
2013,25-29,Accommodation & Food Services,4.4
2013,25-29,Information & Communications,7.0
2013,25-29,Financial & Insurance Services,9.6
2013,25-29,Real Estate Services,1.6
2013,25-29,Professional Services,8.7
2013,25-29,Administrative & Support Services,4.6
2013,25-29,Public Administration & Education,16.7
2013,25-29,Health & Social Services,3.0
2013,25-29,"Arts, Entertainment & Recreation",3.3
2013,25-29,"Other Community, Social & Personal Services",1.8
2013,25-29,Others,1.2
2013,30-34,Manufacturing,19.7
2013,30-34,Construction,5.2
2013,30-34,Wholesale & Retail Trade,14.7
2013,30-34,Transportation & Storage,10.5
2013,30-34,Accommodation & Food Services,5.0
2013,30-34,Information & Communications,11.0
2013,30-34,Financial & Insurance Services,13.3
2013,30-34,Real Estate Services,3.0
2013,30-34,Professional Services,9.1
2013,30-34,Administrative & Support Services,4.4
2013,30-34,Public Administration & Education,18.0
2013,30-34,Health & Social Services,2.7
2013,30-34,"Arts, Entertainment & Recreation",2.8
2013,30-34,"Other Community, Social & Personal Services",1.9
2013,30-34,Others,1.3
2013,35-39,Manufacturing,25.1
2013,35-39,Construction,7.8
2013,35-39,Wholesale & Retail Trade,17.7
2013,35-39,Transportation & Storage,12.6
2013,35-39,Accommodation & Food Services,4.9
2013,35-39,Information & Communications,10.8
2013,35-39,Financial & Insurance Services,12.0
2013,35-39,Real Estate Services,2.9
2013,35-39,Professional Services,11.1
2013,35-39,Administrative & Support Services,4.3
2013,35-39,Public Administration & Education,15.3
2013,35-39,Health & Social Services,3.1
2013,35-39,"Arts, Entertainment & Recreation",2.5
2013,35-39,"Other Community, Social & Personal Services",2.5
2013,35-39,Others,2.1
2013,40-44,Manufacturing,25.8
2013,40-44,Construction,9.9
2013,40-44,Wholesale & Retail Trade,20.3
2013,40-44,Transportation & Storage,14.5
2013,40-44,Accommodation & Food Services,5.2
2013,40-44,Information & Communications,9.9
2013,40-44,Financial & Insurance Services,11.5
2013,40-44,Real Estate Services,3.6
2013,40-44,Professional Services,11.3
2013,40-44,Administrative & Support Services,4.7
2013,40-44,Public Administration & Education,13.0
2013,40-44,Health & Social Services,2.3
2013,40-44,"Arts, Entertainment & Recreation",1.9
2013,40-44,"Other Community, Social & Personal Services",2.8
2013,40-44,Others,3.0
2013,45-49,Manufacturing,28.5
2013,45-49,Construction,12.6
2013,45-49,Wholesale & Retail Trade,24.3
2013,45-49,Transportation & Storage,19.3
2013,45-49,Accommodation & Food Services,6.3
2013,45-49,Information & Communications,6.2
2013,45-49,Financial & Insurance Services,6.0
2013,45-49,Real Estate Services,2.9
2013,45-49,Professional Services,11.2
2013,45-49,Administrative & Support Services,6.5
2013,45-49,Public Administration & Education,10.6
2013,45-49,Health & Social Services,2.5
2013,45-49,"Arts, Entertainment & Recreation",1.9
2013,45-49,"Other Community, Social & Personal Services",4.2
2013,45-49,Others,2.7
2013,50-54,Manufacturing,24.9
2013,50-54,Construction,14.9
2013,50-54,Wholesale & Retail Trade,21.1
2013,50-54,Transportation & Storage,25.3
2013,50-54,Accommodation & Food Services,7.1
2013,50-54,Information & Communications,3.5
2013,50-54,Financial & Insurance Services,6.2
2013,50-54,Real Estate Services,4.1
2013,50-54,Professional Services,8.3
2013,50-54,Administrative & Support Services,6.3
2013,50-54,Public Administration & Education,8.4
2013,50-54,Health & Social Services,2.7
2013,50-54,"Arts, Entertainment & Recreation",2.1
2013,50-54,"Other Community, Social & Personal Services",5.5
2013,50-54,Others,2.6
2013,55-59,Manufacturing,18.3
2013,55-59,Construction,12.5
2013,55-59,Wholesale & Retail Trade,14.8
2013,55-59,Transportation & Storage,24.1
2013,55-59,Accommodation & Food Services,7.8
2013,55-59,Information & Communications,2.8
2013,55-59,Financial & Insurance Services,3.5
2013,55-59,Real Estate Services,2.8
2013,55-59,Professional Services,5.9
2013,55-59,Administrative & Support Services,7.9
2013,55-59,Public Administration & Education,8.1
2013,55-59,Health & Social Services,1.8
2013,55-59,"Arts, Entertainment & Recreation",1.6
2013,55-59,"Other Community, Social & Personal Services",4.6
2013,55-59,Others,2.0
2013,60-64,Manufacturing,11.2
2013,60-64,Construction,7.1
2013,60-64,Wholesale & Retail Trade,12.6
2013,60-64,Transportation & Storage,16.1
2013,60-64,Accommodation & Food Services,6.0
2013,60-64,Information & Communications,1.7
2013,60-64,Financial & Insurance Services,2.4
2013,60-64,Real Estate Services,2.1
2013,60-64,Professional Services,4.2
2013,60-64,Administrative & Support Services,6.0
2013,60-64,Public Administration & Education,4.6
2013,60-64,Health & Social Services,1.9
2013,60-64,"Arts, Entertainment & Recreation",1.1
2013,60-64,"Other Community, Social & Personal Services",3.4
2013,60-64,Others,2.6
2013,65+,Manufacturing,6.4
2013,65+,Construction,3.8
2013,65+,Wholesale & Retail Trade,10.3
2013,65+,Transportation & Storage,10.6
2013,65+,Accommodation & Food Services,6.6
2013,65+,Information & Communications,0.7
2013,65+,Financial & Insurance Services,1.9
2013,65+,Real Estate Services,1.7
2013,65+,Professional Services,2.4
2013,65+,Administrative & Support Services,8.8
2013,65+,Public Administration & Education,2.4
2013,65+,Health & Social Services,1.6
2013,65+,"Arts, Entertainment & Recreation",0.6
2013,65+,"Other Community, Social & Personal Services",3.7
2013,65+,Others,1.3
2012,15-19,Manufacturing,0.6
2012,15-19,Construction,0.1
2012,15-19,Wholesale & Retail Trade,1.4
2012,15-19,Transportation & Storage,0.3
2012,15-19,Accommodation & Food Services,2.5
2012,15-19,Information & Communications,0.2
2012,15-19,Financial & Insurance Services,0.1
2012,15-19,Real Estate Services,0.1
2012,15-19,Professional Services,0.3
2012,15-19,Administrative & Support Services,0.2
2012,15-19,Public Administration & Education,12.1
2012,15-19,Health & Social Services,0.0
2012,15-19,"Arts, Entertainment & Recreation",0.3
2012,15-19,"Other Community, Social & Personal Services",0.1
2012,15-19,Others,0.1
2012,20-24,Manufacturing,3.5
2012,20-24,Construction,1.3
2012,20-24,Wholesale & Retail Trade,7.5
2012,20-24,Transportation & Storage,3.6
2012,20-24,Accommodation & Food Services,4.2
2012,20-24,Information & Communications,2.9
2012,20-24,Financial & Insurance Services,2.8
2012,20-24,Real Estate Services,0.7
2012,20-24,Professional Services,2.6
2012,20-24,Administrative & Support Services,2.0
2012,20-24,Public Administration & Education,48.4
2012,20-24,Health & Social Services,0.9
2012,20-24,"Arts, Entertainment & Recreation",2.9
2012,20-24,"Other Community, Social & Personal Services",1.0
2012,20-24,Others,0.3
2012,25-29,Manufacturing,12.8
2012,25-29,Construction,4.5
2012,25-29,Wholesale & Retail Trade,10.6
2012,25-29,Transportation & Storage,9.3
2012,25-29,Accommodation & Food Services,3.7
2012,25-29,Information & Communications,6.3
2012,25-29,Financial & Insurance Services,11.2
2012,25-29,Real Estate Services,2.0
2012,25-29,Professional Services,8.9
2012,25-29,Administrative & Support Services,4.6
2012,25-29,Public Administration & Education,16.2
2012,25-29,Health & Social Services,2.5
2012,25-29,"Arts, Entertainment & Recreation",3.0
2012,25-29,"Other Community, Social & Personal Services",1.5
2012,25-29,Others,1.3
2012,30-34,Manufacturing,21.5
2012,30-34,Construction,4.7
2012,30-34,Wholesale & Retail Trade,14.5
2012,30-34,Transportation & Storage,9.6
2012,30-34,Accommodation & Food Services,4.2
2012,30-34,Information & Communications,10.2
2012,30-34,Financial & Insurance Services,13.3
2012,30-34,Real Estate Services,2.8
2012,30-34,Professional Services,9.6
2012,30-34,Administrative & Support Services,4.4
2012,30-34,Public Administration & Education,16.4
2012,30-34,Health & Social Services,2.6
2012,30-34,"Arts, Entertainment & Recreation",2.6
2012,30-34,"Other Community, Social & Personal Services",2.2
2012,30-34,Others,2.2
2012,35-39,Manufacturing,27.8
2012,35-39,Construction,8.5
2012,35-39,Wholesale & Retail Trade,18.4
2012,35-39,Transportation & Storage,11.5
2012,35-39,Accommodation & Food Services,4.5
2012,35-39,Information & Communications,11.9
2012,35-39,Financial & Insurance Services,11.8
2012,35-39,Real Estate Services,3.3
2012,35-39,Professional Services,11.8
2012,35-39,Administrative & Support Services,5.1
2012,35-39,Public Administration & Education,13.6
2012,35-39,Health & Social Services,2.3
2012,35-39,"Arts, Entertainment & Recreation",3.1
2012,35-39,"Other Community, Social & Personal Services",2.0
2012,35-39,Others,2.0
2012,40-44,Manufacturing,27.5
2012,40-44,Construction,10.8
2012,40-44,Wholesale & Retail Trade,21.4
2012,40-44,Transportation & Storage,14.6
2012,40-44,Accommodation & Food Services,5.4
2012,40-44,Information & Communications,8.4
2012,40-44,Financial & Insurance Services,11.6
2012,40-44,Real Estate Services,2.8
2012,40-44,Professional Services,10.6
2012,40-44,Administrative & Support Services,5.8
2012,40-44,Public Administration & Education,11.8
2012,40-44,Health & Social Services,2.6
2012,40-44,"Arts, Entertainment & Recreation",2.0
2012,40-44,"Other Community, Social & Personal Services",2.7
2012,40-44,Others,2.0
2012,45-49,Manufacturing,29.9
2012,45-49,Construction,14.3
2012,45-49,Wholesale & Retail Trade,20.7
2012,45-49,Transportation & Storage,20.8
2012,45-49,Accommodation & Food Services,7.8
2012,45-49,Information & Communications,5.7
2012,45-49,Financial & Insurance Services,7.5
2012,45-49,Real Estate Services,3.9
2012,45-49,Professional Services,9.3
2012,45-49,Administrative & Support Services,5.7
2012,45-49,Public Administration & Education,10.0
2012,45-49,Health & Social Services,2.7
2012,45-49,"Arts, Entertainment & Recreation",1.6
2012,45-49,"Other Community, Social & Personal Services",4.0
2012,45-49,Others,2.9
2012,50-54,Manufacturing,24.7
2012,50-54,Construction,15.4
2012,50-54,Wholesale & Retail Trade,21.3
2012,50-54,Transportation & Storage,23.6
2012,50-54,Accommodation & Food Services,8.0
2012,50-54,Information & Communications,4.3
2012,50-54,Financial & Insurance Services,5.3
2012,50-54,Real Estate Services,3.4
2012,50-54,Professional Services,6.7
2012,50-54,Administrative & Support Services,6.9
2012,50-54,Public Administration & Education,8.2
2012,50-54,Health & Social Services,2.4
2012,50-54,"Arts, Entertainment & Recreation",2.2
2012,50-54,"Other Community, Social & Personal Services",4.3
2012,50-54,Others,3.8
2012,55-59,Manufacturing,20.4
2012,55-59,Construction,10.7
2012,55-59,Wholesale & Retail Trade,17.3
2012,55-59,Transportation & Storage,24.0
2012,55-59,Accommodation & Food Services,7.0
2012,55-59,Information & Communications,2.9
2012,55-59,Financial & Insurance Services,3.1
2012,55-59,Real Estate Services,3.4
2012,55-59,Professional Services,5.4
2012,55-59,Administrative & Support Services,7.6
2012,55-59,Public Administration & Education,6.8
2012,55-59,Health & Social Services,1.4
2012,55-59,"Arts, Entertainment & Recreation",0.9
2012,55-59,"Other Community, Social & Personal Services",3.9
2012,55-59,Others,2.5
2012,60-64,Manufacturing,10.6
2012,60-64,Construction,6.5
2012,60-64,Wholesale & Retail Trade,11.9
2012,60-64,Transportation & Storage,16.4
2012,60-64,Accommodation & Food Services,5.4
2012,60-64,Information & Communications,1.3
2012,60-64,Financial & Insurance Services,2.3
2012,60-64,Real Estate Services,2.6
2012,60-64,Professional Services,3.9
2012,60-64,Administrative & Support Services,6.7
2012,60-64,Public Administration & Education,3.9
2012,60-64,Health & Social Services,1.3
2012,60-64,"Arts, Entertainment & Recreation",1.4
2012,60-64,"Other Community, Social & Personal Services",3.4
2012,60-64,Others,1.7
2012,65+,Manufacturing,5.9
2012,65+,Construction,3.8
2012,65+,Wholesale & Retail Trade,8.9
2012,65+,Transportation & Storage,8.5
2012,65+,Accommodation & Food Services,5.6
2012,65+,Information & Communications,0.5
2012,65+,Financial & Insurance Services,1.7
2012,65+,Real Estate Services,1.6
2012,65+,Professional Services,1.4
2012,65+,Administrative & Support Services,8.4
2012,65+,Public Administration & Education,2.8
2012,65+,Health & Social Services,1.4
2012,65+,"Arts, Entertainment & Recreation",0.6
2012,65+,"Other Community, Social & Personal Services",2.2
2012,65+,Others,0.9
2011,15-19,Manufacturing,0.3
2011,15-19,Construction,0.2
2011,15-19,Wholesale & Retail Trade,1.5
2011,15-19,Transportation & Storage,0.3
2011,15-19,Accommodation & Food Services,2.7
2011,15-19,Information & Communications,0.2
2011,15-19,Financial & Insurance Services,0.0
2011,15-19,Real Estate Services,0.0
2011,15-19,Professional Services,0.3
2011,15-19,Administrative & Support Services,0.4
2011,15-19,Public Administration & Education,13.7
2011,15-19,Health & Social Services,0.2
2011,15-19,"Arts, Entertainment & Recreation",0.5
2011,15-19,"Other Community, Social & Personal Services",0.0
2011,15-19,Others,0.0
2011,20-24,Manufacturing,4.0
2011,20-24,Construction,0.9
2011,20-24,Wholesale & Retail Trade,5.8
2011,20-24,Transportation & Storage,3.4
2011,20-24,Accommodation & Food Services,4.4
2011,20-24,Information & Communications,1.8
2011,20-24,Financial & Insurance Services,2.3
2011,20-24,Real Estate Services,0.6
2011,20-24,Professional Services,2.1
2011,20-24,Administrative & Support Services,1.9
2011,20-24,Public Administration & Education,46.0
2011,20-24,Health & Social Services,0.9
2011,20-24,"Arts, Entertainment & Recreation",1.6
2011,20-24,"Other Community, Social & Personal Services",0.6
2011,20-24,Others,0.5
2011,25-29,Manufacturing,15.3
2011,25-29,Construction,3.5
2011,25-29,Wholesale & Retail Trade,12.4
2011,25-29,Transportation & Storage,8.5
2011,25-29,Accommodation & Food Services,3.8
2011,25-29,Information & Communications,7.4
2011,25-29,Financial & Insurance Services,11.2
2011,25-29,Real Estate Services,2.6
2011,25-29,Professional Services,7.2
2011,25-29,Administrative & Support Services,3.9
2011,25-29,Public Administration & Education,18.0
2011,25-29,Health & Social Services,2.3
2011,25-29,"Arts, Entertainment & Recreation",3.2
2011,25-29,"Other Community, Social & Personal Services",2.2
2011,25-29,Others,1.3
2011,30-34,Manufacturing,25.7
2011,30-34,Construction,5.3
2011,30-34,Wholesale & Retail Trade,15.3
2011,30-34,Transportation & Storage,10.3
2011,30-34,Accommodation & Food Services,4.5
2011,30-34,Information & Communications,10.1
2011,30-34,Financial & Insurance Services,11.9
2011,30-34,Real Estate Services,3.3
2011,30-34,Professional Services,9.2
2011,30-34,Administrative & Support Services,4.3
2011,30-34,Public Administration & Education,15.2
2011,30-34,Health & Social Services,2.3
2011,30-34,"Arts, Entertainment & Recreation",2.6
2011,30-34,"Other Community, Social & Personal Services",2.1
2011,30-34,Others,1.8
2011,35-39,Manufacturing,29.1
2011,35-39,Construction,9.0
2011,35-39,Wholesale & Retail Trade,20.1
2011,35-39,Transportation & Storage,12.0
2011,35-39,Accommodation & Food Services,6.0
2011,35-39,Information & Communications,11.0
2011,35-39,Financial & Insurance Services,11.8
2011,35-39,Real Estate Services,3.1
2011,35-39,Professional Services,10.3
2011,35-39,Administrative & Support Services,5.4
2011,35-39,Public Administration & Education,13.8
2011,35-39,Health & Social Services,3.1
2011,35-39,"Arts, Entertainment & Recreation",1.9
2011,35-39,"Other Community, Social & Personal Services",2.1
2011,35-39,Others,1.8
2011,40-44,Manufacturing,27.8
2011,40-44,Construction,10.2
2011,40-44,Wholesale & Retail Trade,18.8
2011,40-44,Transportation & Storage,15.9
2011,40-44,Accommodation & Food Services,5.4
2011,40-44,Information & Communications,8.4
2011,40-44,Financial & Insurance Services,10.0
2011,40-44,Real Estate Services,3.4
2011,40-44,Professional Services,11.1
2011,40-44,Administrative & Support Services,5.4
2011,40-44,Public Administration & Education,10.0
2011,40-44,Health & Social Services,2.2
2011,40-44,"Arts, Entertainment & Recreation",2.1
2011,40-44,"Other Community, Social & Personal Services",3.4
2011,40-44,Others,2.0
2011,45-49,Manufacturing,31.2
2011,45-49,Construction,15.7
2011,45-49,Wholesale & Retail Trade,22.9
2011,45-49,Transportation & Storage,22.1
2011,45-49,Accommodation & Food Services,8.2
2011,45-49,Information & Communications,4.9
2011,45-49,Financial & Insurance Services,6.4
2011,45-49,Real Estate Services,3.0
2011,45-49,Professional Services,9.2
2011,45-49,Administrative & Support Services,5.9
2011,45-49,Public Administration & Education,9.1
2011,45-49,Health & Social Services,2.3
2011,45-49,"Arts, Entertainment & Recreation",1.9
2011,45-49,"Other Community, Social & Personal Services",4.5
2011,45-49,Others,2.3
2011,50-54,Manufacturing,24.7
2011,50-54,Construction,14.1
2011,50-54,Wholesale & Retail Trade,21.7
2011,50-54,Transportation & Storage,26.3
2011,50-54,Accommodation & Food Services,8.0
2011,50-54,Information & Communications,4.4
2011,50-54,Financial & Insurance Services,5.1
2011,50-54,Real Estate Services,3.4
2011,50-54,Professional Services,5.8
2011,50-54,Administrative & Support Services,6.2
2011,50-54,Public Administration & Education,7.3
2011,50-54,Health & Social Services,2.1
2011,50-54,"Arts, Entertainment & Recreation",1.5
2011,50-54,"Other Community, Social & Personal Services",5.1
2011,50-54,Others,3.0
2011,55-59,Manufacturing,18.1
2011,55-59,Construction,10.0
2011,55-59,Wholesale & Retail Trade,15.5
2011,55-59,Transportation & Storage,23.3
2011,55-59,Accommodation & Food Services,7.1
2011,55-59,Information & Communications,2.2
2011,55-59,Financial & Insurance Services,3.8
2011,55-59,Real Estate Services,3.0
2011,55-59,Professional Services,4.3
2011,55-59,Administrative & Support Services,6.7
2011,55-59,Public Administration & Education,6.2
2011,55-59,Health & Social Services,1.7
2011,55-59,"Arts, Entertainment & Recreation",1.5
2011,55-59,"Other Community, Social & Personal Services",3.5
2011,55-59,Others,2.5
2011,60-64,Manufacturing,9.9
2011,60-64,Construction,5.3
2011,60-64,Wholesale & Retail Trade,10.2
2011,60-64,Transportation & Storage,15.8
2011,60-64,Accommodation & Food Services,5.4
2011,60-64,Information & Communications,1.3
2011,60-64,Financial & Insurance Services,2.2
2011,60-64,Real Estate Services,1.5
2011,60-64,Professional Services,2.8
2011,60-64,Administrative & Support Services,6.6
2011,60-64,Public Administration & Education,3.6
2011,60-64,Health & Social Services,1.4
2011,60-64,"Arts, Entertainment & Recreation",0.8
2011,60-64,"Other Community, Social & Personal Services",2.8
2011,60-64,Others,1.8
2011,65+,Manufacturing,5.1
2011,65+,Construction,3.4
2011,65+,Wholesale & Retail Trade,7.9
2011,65+,Transportation & Storage,8.0
2011,65+,Accommodation & Food Services,5.5
2011,65+,Information & Communications,0.2
2011,65+,Financial & Insurance Services,1.5
2011,65+,Real Estate Services,1.1
2011,65+,Professional Services,1.9
2011,65+,Administrative & Support Services,7.6
2011,65+,Public Administration & Education,2.3
2011,65+,Health & Social Services,1.3
2011,65+,"Arts, Entertainment & Recreation",0.5
2011,65+,"Other Community, Social & Personal Services",2.6
2011,65+,Others,0.6
2010,15-19,Manufacturing,0.4
2010,15-19,Construction,0.0
2010,15-19,Wholesale & Retail Trade,1.5
2010,15-19,Transportation & Storage,0.4
2010,15-19,Accommodation & Food Services,2.5
2010,15-19,Information & Communications,0.4
2010,15-19,Financial & Insurance Services,0.1
2010,15-19,Real Estate Services,0.0
2010,15-19,Professional Services,0.3
2010,15-19,Administrative & Support Services,0.2
2010,15-19,Public Administration & Education,16.1
2010,15-19,Health & Social Services,0.2
2010,15-19,"Arts, Entertainment & Recreation",0.5
2010,15-19,"Other Community, Social & Personal Services",0.1
2010,15-19,Others,0.1
2010,20-24,Manufacturing,3.8
2010,20-24,Construction,1.1
2010,20-24,Wholesale & Retail Trade,6.5
2010,20-24,Transportation & Storage,3.7
2010,20-24,Accommodation & Food Services,3.5
2010,20-24,Information & Communications,3.3
2010,20-24,Financial & Insurance Services,2.3
2010,20-24,Real Estate Services,0.2
2010,20-24,Professional Services,2.5
2010,20-24,Administrative & Support Services,2.8
2010,20-24,Public Administration & Education,42.3
2010,20-24,Health & Social Services,0.8
2010,20-24,"Arts, Entertainment & Recreation",1.7
2010,20-24,"Other Community, Social & Personal Services",1.0
2010,20-24,Others,0.6
2010,25-29,Manufacturing,15.0
2010,25-29,Construction,4.7
2010,25-29,Wholesale & Retail Trade,12.4
2010,25-29,Transportation & Storage,10.0
2010,25-29,Accommodation & Food Services,4.6
2010,25-29,Information & Communications,11.0
2010,25-29,Financial & Insurance Services,10.9
2010,25-29,Real Estate Services,1.7
2010,25-29,Professional Services,7.7
2010,25-29,Administrative & Support Services,3.7
2010,25-29,Public Administration & Education,16.9
2010,25-29,Health & Social Services,2.1
2010,25-29,"Arts, Entertainment & Recreation",2.8
2010,25-29,"Other Community, Social & Personal Services",1.5
2010,25-29,Others,2.1
2010,30-34,Manufacturing,24.9
2010,30-34,Construction,7.2
2010,30-34,Wholesale & Retail Trade,14.2
2010,30-34,Transportation & Storage,11.4
2010,30-34,Accommodation & Food Services,5.4
2010,30-34,Information & Communications,11.9
2010,30-34,Financial & Insurance Services,10.7
2010,30-34,Real Estate Services,2.3
2010,30-34,Professional Services,8.5
2010,30-34,Administrative & Support Services,4.1
2010,30-34,Public Administration & Education,15.4
2010,30-34,Health & Social Services,2.9
2010,30-34,"Arts, Entertainment & Recreation",2.4
2010,30-34,"Other Community, Social & Personal Services",2.8
2010,30-34,Others,2.9
2010,35-39,Manufacturing,30.2
2010,35-39,Construction,9.6
2010,35-39,Wholesale & Retail Trade,18.3
2010,35-39,Transportation & Storage,14.3
2010,35-39,Accommodation & Food Services,5.4
2010,35-39,Information & Communications,13.4
2010,35-39,Financial & Insurance Services,10.8
2010,35-39,Real Estate Services,3.1
2010,35-39,Professional Services,10.2
2010,35-39,Administrative & Support Services,4.6
2010,35-39,Public Administration & Education,14.2
2010,35-39,Health & Social Services,3.3
2010,35-39,"Arts, Entertainment & Recreation",1.8
2010,35-39,"Other Community, Social & Personal Services",2.6
2010,35-39,Others,3.9
2010,40-44,Manufacturing,31.2
2010,40-44,Construction,11.5
2010,40-44,Wholesale & Retail Trade,18.9
2010,40-44,Transportation & Storage,17.3
2010,40-44,Accommodation & Food Services,6.4
2010,40-44,Information & Communications,9.1
2010,40-44,Financial & Insurance Services,7.1
2010,40-44,Real Estate Services,2.5
2010,40-44,Professional Services,7.7
2010,40-44,Administrative & Support Services,5.5
2010,40-44,Public Administration & Education,8.6
2010,40-44,Health & Social Services,2.6
2010,40-44,"Arts, Entertainment & Recreation",2.0
2010,40-44,"Other Community, Social & Personal Services",3.9
2010,40-44,Others,3.5
2010,45-49,Manufacturing,29.3
2010,45-49,Construction,16.2
2010,45-49,Wholesale & Retail Trade,20.6
2010,45-49,Transportation & Storage,22.9
2010,45-49,Accommodation & Food Services,8.2
2010,45-49,Information & Communications,5.9
2010,45-49,Financial & Insurance Services,5.0
2010,45-49,Real Estate Services,3.0
2010,45-49,Professional Services,7.7
2010,45-49,Administrative & Support Services,7.9
2010,45-49,Public Administration & Education,9.8
2010,45-49,Health & Social Services,2.4
2010,45-49,"Arts, Entertainment & Recreation",1.4
2010,45-49,"Other Community, Social & Personal Services",4.8
2010,45-49,Others,4.5
2010,50-54,Manufacturing,23.6
2010,50-54,Construction,13.6
2010,50-54,Wholesale & Retail Trade,19.0
2010,50-54,Transportation & Storage,24.6
2010,50-54,Accommodation & Food Services,7.5
2010,50-54,Information & Communications,3.9
2010,50-54,Financial & Insurance Services,4.2
